公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：1分钟,发车时间：18:02,到达时间：18.43,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
站点,已上车乘客 (客流量Ai),集结量,疏散量,垂直误差线,（1-15的客运量）,,站点,已上车乘客 (客流量Ai),集结量,疏散量,垂直误差线,（1-15的客运量）,
1,7,7,0,7,142,,1,7,7,0,7,150,
2,19,15,3,12,,,2,4,0,3,-3,,
3,11,2,10,-8,,,3,9,5,0,5,,
4,9,1,3,-2,,,4,9,2,2,0,,
5,13,9,5,4,,,5,14,6,1,5,,
6,12,2,3,-1,,,6,19,7,2,5,,
7,11,1,2,-1,,,7,19,3,3,0,,
8,7,2,6,-4,,,8,18,1,2,-1,,
9,9,3,1,2,,,9,15,5,8,-3,,
10,10,4,3,1,,,10,14,1,2,-1,,
11,12,4,2,2,,,11,10,2,6,-4,,
12,8,0,4,-4,,,12,4,5,11,-6,,
13,5,1,4,-3,,,13,4,6,6,0,,
14,9,5,1,4,,,14,4,4,4,0,,
15,0,0,9,-9,,,15,0,0,4,-4,,
